donor_name,usd_disbursement_deflated
International Development Association,402.190306
France,249.113337
Germany,159.137682
Saudi Arabia,114.144254
Asian Development Bank,104.176253
Japan,93.61264
Kuwait,85.183607
Council of Europe Development Bank,75.017658
EU Institutions,69.5501590000001
Inter-American Development Bank,57.623858
Central American Bank for Economic Integration,36.240194
United Arab Emirates,26.728436
Arab Fund (AFESD),21.253055
Qatar,16.773824
Korea,14.740909
Sweden,11.156695
Switzerland,7.742633
Global Environment Facility,7.259882
Italy,6.071555
Spain,5.860035
Türkiye,5.170319
New Zealand,4.714241
Islamic Development Bank,3.543475
Croatia,2.718856
Luxembourg,2.674613
Canada,1.768015
Green Climate Fund,1.588943
Portugal,1.216353
United Kingdom,0.929047
Australia,0.675333
Belgium,0.627526
Slovak Republic,0.325128
Poland,0.297724
Hungary,0.246544
Liechtenstein,0.20949
Estonia,0.082989
Romania,0.061254
Finland,0.059526
Austria,0.037952
Czechia,0.037578
Ireland,0.033464
Greece,0.031549
Norway,0.007604
Denmark,0
IFAD,0
United States,0
Development Bank of Latin America,0
